k,w_embedding,w_rcdc,w_ic,silhouette_combined,silhouette_semantic,calinski_harabasz,davies_bouldin,ic_homogeneity,composite_score
50,0.7,0.2,0.1,0.008877644872425976,0.017545186172004526,77.07691718977192,4.82827687996218,0,0.2736532423871534
50,0.8,0.1,0.1,0.008546975805357206,0.01765020845044614,77.0769171897719,4.828276879962182,0,0.27361414425493713
50,0.8,0.2,0.0,0.00843962171836495,0.016575381598395368,77.0769171897719,4.828276879962182,0,0.2734905584566832
50,0.9,0.0,0.1,0.008883029327341698,0.016409680944703475,77.07691718977193,4.82827687996218,0,0.2735404995326606
50,0.9,0.1,0.0,0.00865122758004822,0.017366558664685044,77.07691718977193,4.82827687996218,0,0.27360141704256474
50,1.0,0.0,0.0,0.007618997674560185,0.015447547151057901,77.07691718977192,4.828276879962181,0,0.2732546814053788
75,0.7,0.2,0.1,0.007934852030500608,0.015943618095238577,60.181275573818354,4.524697216126329,0,0.27907992824507283
75,0.8,0.1,0.1,0.007779470021033799,0.014912737317943578,60.181275573818375,4.524697216126331,0,0.2789535328659232
75,0.8,0.2,0.0,0.008266129003408977,0.015987853078436583,60.181275573818375,4.524697216126331,0,0.2791340432893288
75,0.9,0.0,0.1,0.008604073642232896,0.01581564697935827,60.181275573818446,4.524697216126329,0,0.2791675143752446
75,0.9,0.1,0.0,0.00709716636665197,0.014208557446873016,60.181275573818446,4.524697216126329,0,0.27878076933065893
75,1.0,0.0,0.0,0.007942526910900489,0.015976636723760013,60.181275573818404,4.524697216126329,0,0.27908438133998487
